Season,Team,+/-
2011,Vikings,-14
2011,Bears,-9
2011,Falcons,-17
2011,Saints,16
2011,Chargers,-4
2011,Raiders,10
2011,Lions,55
2011,Browns,-1
2011,Eagles,1
2011,Steelers,-1
2011,Giants,11
2011,Buccaneers,0
2011,Cardinals,3
2011,Bengals,3
2011,Chiefs,-82
2011,Dolphins,-25
2011,Jaguars,-33
2011,Seahawks,-37
2011,Jets,22
2011,Ravens,45
2011,Colts,-38
2011,Packers,25
2011,Titans,14
2011,Rams,-60
2011,Bills,40
2011,Texans,30
2011,49ers,18
2011,Patriots,25
2011,Cowboys,2
2011,Panthers,-8
2011,Redskins,13
2012,Broncos,0
2012,Vikings,11
2012,Bears,24
2012,Falcons,46
2012,Saints,-19
2012,Chargers,12
2012,Raiders,-27
2012,Lions,-7
2012,Browns,-18
2012,Eagles,-19
2012,Steelers,2
2012,Giants,29
2012,Buccaneers,-7
2012,Cardinals,27
2012,Bengals,-17
2012,Chiefs,-31
2012,Dolphins,-1
2012,Jaguars,-18
2012,Redskins,-2
2012,Jets,6
2012,Ravens,31
2012,Colts,-22
2012,Packers,3
2012,Titans,-46
2012,Rams,-18
2012,Bills,8
2012,Texans,46
2012,49ers,5
2012,Patriots,18
2012,Cowboys,-7
2012,Seahawks,18
2012,Panthers,-27
2013,Broncos,56
2013,Vikings,-15
2013,Bears,21
2013,Falcons,-3
2013,Saints,32
2013,Chargers,-3
2013,Raiders,-10
2013,Lions,13
2013,Eagles,-7
2013,Browns,-17
2013,Steelers,-34
2013,Giants,-61
2013,Buccaneers,-23
2013,Cardinals,-23
2013,Bengals,11
2013,Chiefs,37
2013,Dolphins,21
2013,Jaguars,-64
2013,Seahawks,59
2013,Jets,5
2013,Ravens,7
2013,Colts,20
2013,Packers,8
2013,Titans,4
2013,Rams,-28
2013,Bills,-8
2013,Texans,-12
2013,49ers,-40
2013,Patriots,25
2013,Cowboys,28
2013,Panthers,32
2013,Redskins,-31
2014,Raiders,-28
2014,Vikings,-6
2014,Bears,13
2014,Falcons,31
2014,Saints,6
2014,Chargers,20
2014,Broncos,8
2014,Lions,16
2014,Eagles,23
2014,Browns,-3
2014,Steelers,1
2014,Giants,-19
2014,Buccaneers,-50
2014,Cardinals,21
2014,Bengals,47
2014,Chiefs,-4
2014,Jaguars,-75
2014,Seahawks,17
2014,Jets,-10
2014,Ravens,15
2014,Colts,17
2014,Packers,-25
2014,Dolphins,-25
2014,Rams,-29
2014,Bills,10
2014,Panthers,5
2014,Texans,14
2014,49ers,-6
2014,Patriots,17
2014,Cowboys,8
2014,Titans,-26
2014,Redskins,17
2015,Broncos,25
2015,Vikings,10
2015,Bears,-59
2015,Falcons,17
2015,Saints,-24
2015,Chargers,-17
2015,Raiders,-9
2015,Lions,-27
2015,Eagles,-5
2015,Browns,-14
2015,Steelers,12
2015,Giants,6
2015,Buccaneers,-38
2015,Cardinals,77
2015,Bengals,29
2015,Chiefs,-10
2015,Jaguars,-42
2015,Redskins,-4
2015,Jets,27
2015,Ravens,-14
2015,Colts,-24
2015,Packers,28
2015,Titans,12
2015,Rams,-5
2015,Bills,32
2015,Buccanneers,7
2015,Panthers,23
2015,Texans,-4
2015,49ers,-48
2015,Patriots,49
2015,Cowboys,0
2015,Seahawks,13
2015,Dolphins,-23
2016,Broncos,13
2016,Vikings,24
2016,Bears,-38
2016,Falcons,-13
2016,Saints,9
2016,Chargers,14
2016,Raiders,1
2016,Lions,-4
2016,Eagles,65
2016,Browns,-30
2016,Steelers,-1
2016,Giants,2
2016,Buccaneers,-31
2016,Cardinals,16
2016,Bengals,-5
2016,Chiefs,20
2016,Dolphins,-3
2016,Jaguars,-30
2016,Redskins,-24
2016,Jets,-28
2016,Ravens,13
2016,Colts,-14
2016,Packers,8
2016,Titans,-15
2016,Rams,-17
2016,Bills,15
2016,Texans,-11
2016,49ers,-10
2016,Patriots,36
2016,Cowboys,17
2016,Seahawks,15
2016,Panthers,6
